asistencia;inscripcion;idEgresado;idEvento;idFechaInicio;idFechaFin;idUnidadAcademica;idPerfilPractica;idPerfilPersonal;idPerfilGrado
0;1;-1;161;45;45;2;-1;-1;-1
0;1;-1;271;138;138;27;-1;-1;-1
0;1;-1;1009;212;212;2;-1;-1;-1
0;1;-1;293;212;212;18;-1;-1;-1
0;1;-1;25;27;27;2;-1;-1;-1
1;1;-1;341;220;220;3;-1;-1;-1
0;1;-1;238;181;181;18;-1;-1;-1
0;1;-1;712;60;60;2;-1;-1;-1
0;1;-1;287;208;208;3;-1;-1;-1
0;1;-1;196;84;84;1;-1;-1;-1
1;1;-1;736;411;411;3;-1;-1;-1
0;1;-1;230;33;33;1;-1;-1;-1
0;1;-1;299;105;105;3;-1;-1;-1
0;1;-1;225;126;126;5;-1;-1;-1
0;1;-1;322;5;5;2;-1;-1;-1
0;1;-1;202;162;162;1;-1;-1;-1
0;1;-1;381;191;191;3;-1;-1;-1
1;1;-1;885;389;388;2;-1;-1;-1
0;1;-1;456;312;312;2;-1;-1;-1
0;1;-1;593;369;369;18;-1;-1;-1
0;1;-1;597;320;320;3;-1;-1;-1
0;1;-1;214;27;27;3;-1;-1;-1
0;1;-1;60;52;52;9;-1;-1;-1
0;1;-1;2;2;2;1;-1;-1;-1
1;1;-1;247;130;130;2;-1;-1;-1
1;1;-1;157;130;130;5;-1;-1;-1
0;1;-1;177;144;144;2;-1;-1;-1
0;1;-1;624;376;376;1;-1;-1;-1
0;1;-1;180;147;147;1;-1;-1;-1
0;1;-1;818;147;147;2;-1;-1;-1
0;1;916;148;124;124;3;-1;-1;-1
0;1;916;462;315;315;3;-1;-1;-1
0;1;916;167;137;137;25;-1;-1;-1
1;1;-1;344;237;237;37;-1;-1;-1
0;1;-1;134;112;112;20;-1;-1;-1
0;1;-1;447;305;305;1;-1;-1;-1
0;1;-1;679;24;24;2;-1;-1;-1
0;1;-1;316;95;95;1;-1;-1;-1
1;1;-1;206;166;166;3;-1;-1;-1
1;1;-1;435;297;297;43;-1;-1;-1
0;1;-1;543;349;349;23;-1;-1;-1
0;1;-1;265;197;197;13;-1;-1;-1
1;1;-1;158;85;85;3;-1;-1;-1
0;1;-1;641;197;197;2;-1;-1;-1
0;1;-1;178;145;145;3;-1;-1;-1
0;1;-1;562;223;223;2;-1;-1;-1
0;1;-1;734;120;120;2;-1;-1;-1
0;1;-1;263;196;196;1;-1;-1;-1
0;1;-1;170;139;139;1;-1;-1;-1
1;1;-1;271;138;138;27;-1;-1;-1
0;1;-1;682;373;373;1;-1;-1;-1
1;1;-1;353;244;244;2;-1;-1;-1
1;1;-1;748;416;416;2;-1;-1;-1
1;1;-1;337;233;233;2;-1;-1;-1
1;1;-1;79;70;70;1;-1;-1;-1
0;1;-1;53;47;47;2;-1;-1;-1
0;1;-1;365;124;124;6;-1;-1;-1
0;1;-1;95;82;82;2;-1;-1;-1
0;1;-1;516;82;82;3;-1;-1;-1
0;1;-1;63;55;55;1;-1;-1;-1
0;1;-1;872;45;45;2;-1;-1;-1
0;1;-1;87;76;76;1;-1;-1;-1
0;1;-1;671;76;76;2;-1;-1;-1
0;1;-1;94;81;81;1;-1;-1;-1
1;1;-1;105;89;89;3;-1;-1;-1
0;1;-1;66;58;58;5;-1;-1;-1
1;1;-1;112;97;97;3;-1;-1;-1
0;1;-1;85;74;74;13;-1;-1;-1
1;1;-1;19;21;21;2;-1;-1;-1
1;1;-1;28;30;30;3;-1;-1;-1
1;1;-1;91;78;78;1;-1;-1;-1
0;1;-1;128;110;110;20;-1;-1;-1
0;1;-1;526;343;343;5;-1;-1;-1
0;1;-1;789;184;184;2;-1;-1;-1
0;1;-1;803;63;63;2;-1;-1;-1
0;1;-1;204;164;164;1;-1;-1;-1
0;1;-1;507;40;40;2;-1;-1;-1
0;1;-1;679;394;394;1;-1;-1;-1
0;1;-1;70;61;61;1;-1;-1;-1
0;1;-1;736;411;411;3;-1;-1;-1
0;1;-1;549;177;177;2;-1;-1;-1
0;1;-1;595;312;312;23;-1;-1;-1
0;1;-1;853;369;369;23;-1;-1;-1
1;1;-1;359;181;181;3;-1;-1;-1
1;1;-1;383;263;263;2;-1;-1;-1
0;1;-1;64;56;56;5;-1;-1;-1
0;1;-1;319;225;225;3;-1;-1;-1
1;1;-1;53;47;47;2;-1;-1;-1
1;1;-1;62;54;54;5;-1;-1;-1
1;1;-1;639;382;382;2;-1;-1;-1
0;1;-1;237;66;66;3;-1;-1;-1
0;1;-1;515;116;116;6;-1;-1;-1
1;1;-1;822;448;448;2;-1;-1;-1
0;1;-1;144;90;90;3;-1;-1;-1
0;1;-1;106;90;90;2;-1;-1;-1
0;1;-1;469;317;317;3;-1;-1;-1
1;1;-1;411;283;283;2;-1;-1;-1
0;1;-1;212;170;170;5;-1;-1;-1
0;1;-1;229;1;1;6;-1;-1;-1
1;1;-1;194;158;158;1;-1;-1;-1
0;1;-1;112;97;97;3;-1;-1;-1
1;1;-1;506;332;332;1;-1;-1;-1
1;1;-1;242;2;2;3;-1;-1;-1
0;1;-1;762;25;25;2;-1;-1;-1
0;1;-1;23;25;25;6;-1;-1;-1
0;1;-1;655;24;24;2;-1;-1;-1
0;1;-1;338;234;234;8;-1;-1;-1
0;1;-1;252;24;24;6;-1;-1;-1
0;1;-1;59;51;51;2;-1;-1;-1
1;1;-1;346;239;239;2;-1;-1;-1
1;1;-1;87;76;76;1;-1;-1;-1
1;1;-1;317;224;224;3;-1;-1;-1
0;1;-1;468;28;28;1;-1;-1;-1
1;1;-1;265;197;197;13;-1;-1;-1
0;1;-1;73;64;64;1;-1;-1;-1
