id;paisResidenciaActual;estadoResidenciaActual;ciudadResidenciaActual;empresaActual;cargoActual;donante;profesor;fechaActualizacion;fechaExpiracion
5830;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;DOCENTE DE PLANTA;0;0;2/25/2016;01/01/2999
6802;COLOMBIA;NORTE SANTANDER;CUCUTA;NA;NA;0;0;12/1/2014;01/01/2999
617; Colombia; Cundinamarca; Bogot? D.C.; LATIN AMERICAN HUMAN RESOURCES; ASESOR JUNIOR DE RECLUTAMIENTO;D;D;01/01/2009;01/01/2099
2547; Colombia; Cundinamarca; Bogot? D.C.; Sol Ars S.A.S; Bi?logo Investigador En Restauraci?n Ecol?gica;D;D;01/01/2011;01/01/2099
1381;NA;NA;NA; Ionngroup; Gerente;D;D;01/08/2010;01/01/2099
3332; Colombia; Cundinamarca; Bogot? D.C.; CONSTRUCTORA CORREA; ARQUITECTA;D;D;01/08/2012;01/01/2099
2800; Colombia; Cundinamarca; Bogot? D.C.; De La Carrera Cavanzo; Arquitecto;D;D;01/01/2011;01/01/2099
6924;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;8/19/1999;01/01/2999
975; Colombia; Chia; Chia; UNIVERSIDAD DE LOS ANDES; ASISTENTE GRADUADO;D;D;01/01/2009;01/01/2099
6139;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;SUBGERENTE;0;0;4/8/2016;01/01/2999
6649;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;9/17/2015;01/01/2999
5720;EL SALVADOR;NO DISPONIBLE;NO DISPONIBLE;NA;INGENIERO;0;0;6/24/2010;01/01/2999
4459; Colombia; Cundinamarca; Bogot? D.C.; Caracol Television; Analista De Mercado;D;D;01/08/2013;01/01/2099
907; Colombia; Cundinamarca; Bogot? D.C.; FIDUCIARIA BBVA; ANALISTA DE ESTRUCTURACION DE PRODUCTOS;D;D;01/01/2009;01/01/2099
5793;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL DE PRESUPUESTO VICEPRESIDENCIA DE TRANSPORTE;0;0;11/21/2016;01/01/2999
4501; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Profesor De C?tedra;D;D;01/08/2013;01/01/2099
2804; Colombia; Cundinamarca; Bogot? D.C.; INDEPENDIENTE; PROPIERTARIO;D;D;01/01/2011;01/01/2099
2100; Colombia; Cundinamarca; Bogot? D.C.; Lan Airlines; Supervisor Cco;D;D;01/08/2011;01/01/2099
2424; Colombia; Valle; Cali;NA;NA;D;D;01/08/2011;01/01/2099
532; Colombia; Cundinamarca; Bogot? D.C.; SonarServices; Desarrollador Web;D;D;01/01/2009;01/01/2099
5780;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;6/14/2013;01/01/2999
1619; Colombia; Cundinamarca; Bogot? D.C.; K@Pta; Instructor T?cnico;D;D;01/01/2010;01/01/2099
5328;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;NA;0;0;10/20/2016;01/01/2999
2489; Colombia; Cundinamarca; Bogot? D.C.; PULSA DE COLOMBIA; INGENIERO DE SOPORTE TECNICO;D;D;01/01/2011;01/01/2099
1505; Canad?; British Columbia; Burnaby;NA;NA;D;D;01/01/2010;01/01/2099
3004; Colombia; Caldas; Manizales;NA;NA;D;D;01/08/2012;01/01/2099
6119;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;ASOCIADO;0;0;10/5/2015;01/01/2999
3685; Colombia; Cundinamarca; Bogot? D.C.; R + B; arquitecto;D;D;01/01/2012;01/01/2099
4427; Colombia; Cundinamarca; Bogot? D.C.; Raoul Elissabeth Arquitectos; Gerente De Proyectos;D;D;01/08/2013;01/01/2099
3665; Colombia; Valle Del Cauca; Cali; Hazen & Sawyer; Ingeniero Ambiental;D;D;01/01/2012;01/01/2099
3017; Colombia; Cundinamarca; Soacha; UNIVERSIDAD DE LOS ANDES; ASISTENTE GRADUADO;D;D;01/08/2012;01/01/2099
3155; Colombia; Cundinamarca; Bogot? D.C.; Holguin Neira & Pombo Abogados Ltda.; Abogado Asociado;D;D;01/08/2012;01/01/2099
7079;ESTONIA;NO DISPONIBLE;NO DISPONIBLE;NA;GROUP MANAGER ACCOUNTANT;0;0;9/28/2009;01/01/2999
4110; Colombia; Cundinamarca; Bogot? D.C.; Universidad De Los Andes; Asistente De Investigaci?n;D;D;01/08/2013;01/01/2099
5286;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;RESEARCH ANALYST;0;0;2/20/2014;01/01/2999
7044;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;PROFESIONAL;0;0;7/30/2014;01/01/2999
3757; Colombia; Cundinamarca; Bogot? D.C.; INOBRAS LTDA; Consultaora En Dise?o;D;D;01/01/2012;01/01/2099
1849; Colombia; Cundinamarca; Bogot? D.C.; Nielsen; Ejecutivo De Cuenta;D;D;01/01/2010;01/01/2099
2522;NA; Ya La Tienen; Ya La Tienen; Universidad De Los Andes; Coordinador Del Doctorado En Derecho;D;D;01/01/2011;01/01/2099
3610; Colombia; Cundinamarca; Chia; INDEPENDIENTE; INDEPENDIENTE;D;D;01/01/2012;01/01/2099
6490;COLOMBIA;BOGOTA D.C.;BOGOT? D.C.;NA;CISCO SALES REPRESENTATIVE;0;0;1/23/2013;01/01/2999
1988; Estados Unidos; Louisiana; Youngsville;NA;NA;D;D;01/01/2010;01/01/2099
2450; Colombia; Cundinamarca; Bogot? D.C.; Independiente; Due?a;D;D;01/08/2011;01/01/2099
2642; Colombia; Cundinamarca; Bogot? D.C.; Colombia Movil; Auditora Interna;D;D;01/01/2011;01/01/2099
4108; Colombia; Cundinamarca; Bogot? D.C.; Centro De Soluci?n San Miguel; M?dico General;D;D;01/08/2013;01/01/2099
4254; Colombia; Cundinamarca; Bogot? D.C.; Marly Oncolo; Asistente De Gerente;D;D;01/08/2013;01/01/2099
425; Estados Unidos; New York; New York;NA;NA;D;D;01/08/2009;01/01/2099
