id;beneficiarioQE;gradoEgresado;nivelGrado;semestreGrado
241;0;Especialista en Estado, Pol?ticas P?blicas y Desarrollo;Especializaci?n;2017-20
1188;0;Abogado;Pregrado;1994-10
2594;0;Bacteriólogo;Pregrado;1990-10
69;0;Doctor en Ciencias - Qu?mica;Doctorado;2017-10
989;0;Arquitecto;Pregrado;1973-10
188;0;Mag?ster en Ingenier?a El?ctrica;Maestr?a;2017-20
722;0;Maestro en Artes Plásticas;Pregrado;2002-10
1599;0;Especialista en Legislación Financiera;Especialización;2013-20
191;0;Especialista en Automatizaci?n de Procesos Industriales;Especializaci?n;2017-20
2839;0;Músico con Enfasis en Composición;Pregrado;2002-20
2552;0;Músico con Enfasis en Producción de Audio;Pregrado;2015-20
897;0;Maestro en Arte. Concentración: Proyectos Culturales;Pregrado;2013-20
623;0;Especialista en Periodismo;Especialización;2010-10
307;0;Polit?logo;Pregrado;2018-10
2036;0;Bacteriólogo;Pregrado;1990-20
1000;0;Magíster en Etnolingüística;Maestría;1987-10
1991;0;Químico;Pregrado;2009-10
2337;0;Diseñador Industrial;Pregrado;2007-10
1650;0;Maestro en Arte. Concentración: Medios Electrónicos y Artes del Tiempo;Pregrado;2006-20
1322;0;Antropólogo;Pregrado;1990-20
1941;0;Filósofo;Pregrado;2001-10
939;0;Especialista en Administración Financiera;Especialización;2012-10
1382;0;Arquitecto;Pregrado;1973-20
1149;0;Administrador de Empresas;Pregrado;1989-20
1035;0;Especialista en Negociación;Especialización;2016-10
1192;0;Microbiólogo;Pregrado;1991-20
2820;0;Músico con Enfasis en Composición;Pregrado;2002-10
3062;0;Maestro en Textiles;Pregrado;1979-10
14;0;Especialista en Negociaci?n;Especializaci?n;2017-10
1848;0;Administrador de Empresas;Pregrado;1990-10
1295;0;Especialista en Finanzas;Especialización;1993-20
511;0;Especialista en Periodismo;Especialización;2009-20
104;0;Doctor en Historia;Doctorado;2017-10
891;0;Administrador de Empresas;Pregrado;1989-10
2749;0;Especialista en Inteligencia de Mercados;Especialización;2012-20
2168;0;Licenciado en Bacteriología y Ciencias Naturales;Pregrado;1968-10
1420;0;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2014-10
1645;0;Microbiólogo;Pregrado;1991-10
199;0;Mag?ster en Inteligencia Anal?tica para la Toma de Decisiones;Maestr?a;2017-10
1701;0;Magíster en Dirección Universitaria;Maestría;1995-10
609;0;Arquitecto;Pregrado;1985-10
1669;0;Abogado;Pregrado;1994-20
2539;0;Músico con Enfasis en Dirección Coral;Pregrado;2003-10
661;0;Especialista en Periodismo;Especialización;2009-10
428;0;Mag?ster en Tecnolog?as de Informaci?n para el Negocio;Maestr?a;2018-10
1041;0;Especialista en Finanzas;Especialización;1993-10
558;0;Arquitecto;Pregrado;1997-10
2115;0;Magíster en Microbiología;Maestría;1985-10
102;0;Doctor en Historia;Doctorado;2017-20
518;D;Arquitecto;Pregrado;2002-20
999;0;Biólogo;Pregrado;2011-10
2141;0;Especialista en Inteligencia de Mercados;Especialización;2012-10
889;0;Especialista en Régimen Jurídico, Financiero y Contable de Impuestos;Especialización;2003-20
1772;0;Magíster en Dirección Universitaria;Maestría;1995-20
1546;0;Microbiólogo;Pregrado;1978-20
203;0;Mag?ster en Inteligencia Anal?tica para la Toma de Decisiones;Maestr?a;2017-20
2111;0;Magíster en Ciencia Política;Maestría;2011-10
697;0;Arquitecto;Pregrado;1985-20
683;0;Magíster en Administración;Maestría;2007-10
3092;0;Especialista en Régimen Jurídico, Financiero y Contable de Impuestos;Especialización;2003-10
975;0;Biólogo;Pregrado;2011-20
1105;0;Especialista en Legislación Financiera;Especialización;2001-20
1518;0;Magíster en Psicología;Maestría;2013-20
489;0;Arquitecto;Pregrado;1997-20
2242;0;Magíster en Ciencias-Física;Maestría;2013-10
1977;0;Magíster en Psicología;Maestría;2013-10
268;D;Doctor en Antropolog?a;Doctorado;2018-10
3084;0;Matemático;Pregrado;1981-10
492;0;Magíster en Ciencia Política;Maestría;2011-20
54;D;Mag?ster en Filosof?a;Maestr?a;2017-20
1155;0;Magíster en Administración;Maestría;2007-20
1657;0;Filósofo;Pregrado;1962-10
3131;0;Especialista en Traducción;Especialización;1993-20
3136;0;LicenciadO en Lenguas Modernas;Pregrado;1971-10
42;0;Especialista en Negociaci?n;Especializaci?n;2017-20
1001;0;Psicólogo;Pregrado;1988-20
2654;0;Músico con Enfasis en Composición;Pregrado;1999-20
691;0;Abogado;Pregrado;2008-20
1708;0;Magíster en Derecho Internacional;Maestría;2015-10
3041;0;Magíster en Ciencia Política;Maestría;1996-10
1783;0;Filósofo;Pregrado;1962-20
190;0;Mag?ster en Ingenier?a. Area: Civil;Maestr?a;2017-20
3201;0;Doctor en Matemáticas;Doctorado;2014-20
1872;0;Magíster en Literatura;Maestría;2010-20
762;0;Especialista en Régimen Contractual;Especialización;1994-20
2659;0;Músico con Enfasis en Composición;Pregrado;1999-10
2259;0;Psicólogo;Pregrado;1988-10
743;0;Abogado;Pregrado;2008-10
2767;0;Músico con Enfasis en Instrumento - Violín;Pregrado;2015-10
250;0;Especialista en Curr?culo y Pedagog?a;Especializaci?n;2017-20
1949;0;Psicólogo;Pregrado;1976-20
2699;0;MUSICO-ENF.INSTR.PIANO Y COMPO;Pregrado;2011-10
2443;0;Magíster en Ciencia Política;Maestría;1996-20
2055;D;Politólogo;Pregrado;2008-10
2562;0;Magíster en Ciencias-Física;Maestría;2001-20
2664;0;Músico con Enfasis en Instrumento - Violín;Pregrado;2015-20
3141;0;Matemático;Pregrado;1993-10
1205;0;Arquitecto;Pregrado;2000-10
2549;0;Músico con Enfasis en Guitarra;Pregrado;2009-10
777;D;Magíster en Derecho;Maestría;2007-20
256;0;Especialista en Curr?culo y Pedagog?a;Especializaci?n;2017-10
838;0;Antropólogo;Pregrado;2016-20
2207;0;Especialista en Legislación Financiera;Especialización;1998-20
294;0;Especialista en Administraci?n Financiera;ESPECIALISTA;2018-10
2478;0;Licenciado en Bacteriología y Ciencias Naturales;Pregrado;1968-20
1425;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2007-20
2460;0;Especialista en Derecho de Los Negocios Internacionales;Especialización;2008-10
2995;0;Magíster en Matemáticas;Maestría;2007-10
1224;0;Magíster en Finanzas;Maestría;2011-10
813;0;Antropólogo;Pregrado;2016-10
1699;0;Filósofo;Pregrado;1986-10
263;0;Psic?logo;Pregrado;2018-20
654;0;Administrador de Empresas;Pregrado;1990-20
1373;0;Maestro en Arte. Concentración: Artes Plásticas;Pregrado;2007-10
2870;0;Magíster en Matemáticas;Maestría;2007-20
1788;0;Filósofo;Pregrado;1974-20
1208;0;Magíster en Derecho Internacional;Maestría;2015-20
1408;0;Especialista en Derecho de Los Negocios Internacionales;Especialización;2008-20
3209;0;Músico con Enfasis en Teoría y Composición;Pregrado;1994-10
3127;D;Profesional en Lenguas Modernas;Pregrado;1978-20
928;0;Magíster en Finanzas;Maestría;2011-20
2053;0;Magíster en Literatura;Maestría;2010-10
266;0;Psic?logo;Pregrado;2018-10
2535;0;CICLO BAS.PROG.ESTUD.MUSICALES;Intermedio;1986-20
779;0;Especialista en Creación Multimedia;Especialización;2011-10
1065;0;Magíster en Psicología Clínica y de la Salud;Maestría;2011-10
1676;0;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2016-20
680;0;Magíster en Antropología;Maestría;2007-10
577;0;Abogado;Pregrado;1997-20
520;0;Microbiólogo;Pregrado;2006-20
1924;0;Especialista en Régimen Jurídico, Financiero y Contable de Impuestos;Especialización;1998-20
2685;0;Músico con Enfasis en Instrumento - Canto;Pregrado;2009-20
2618;0;Magíster en Ciencias-Física;Maestría;2003-10
947;0;Administrador de Empresas;Pregrado;2005-10
1464;D;Filósofo;Pregrado;2006-10
3166;0;Especialista en Gestión Pública e Instituciones Administrativas;Especialización;2000-10
2692;0;Músico con Enfasis en Instrumento - Violonchelo;Pregrado;2013-20
1386;0;Magíster en Psicología;Maestría;2015-20
4;0;Administrador de Empresas;Pregrado;2017-10
2457;0;Especialista en Gestión Pública e Instituciones Administrativas;Especialización;2012-10
348;0;Especialista en Legislaci?n Financiera;Especializaci?n;2018-10
1908;0;Literato;Pregrado;2001-20
1561;0;Magíster en Psicología Clínica y de la Salud;Maestría;2011-20
2471;0;Magíster en Ciencias-Física;Maestría;2015-10
1995;0;Magíster en Dirección Universitaria;Maestría;2010-20
2998;0;Especialista en Régimen Jurídico, Financiero y Contable de Impuestos;Especialización;1998-10
3072;0;Magíster en Microbiología;Maestría;1993-10
2842;0;Músico con Enfasis en Instrumento - Canto;Pregrado;2009-10
1334;0;Abogado;Pregrado;1997-10
2608;0;Magíster en Historia;Maestría;2005-20
1902;0;Magíster en Psicología;Maestría;2015-10
1357;0;Microbiólogo;Pregrado;2006-10
1641;0;Filósofo;Pregrado;1986-20
26;0;Administrador de Empresas;Pregrado;2017-20
858;0;INTERMEDIO ARTES;Intermedio;1991-10
113;0;Mag?ster en Derecho, Gobierno y Gesti?n de la Justicia;Maestr?a;2017-20
2533;0;Músico con Enfasis en Guitarra;Pregrado;2011-10
2268;0;Magíster en Ciencias-Física;Maestría;2015-20
305;0;Mag?ster en Derecho P?blico para la Gesti?n Administrativa;Maestr?a;2018-10
755;0;Músico con Enfasis en Teoría y Composición;Pregrado;1995-10
570;0;Magíster en Finanzas;Maestría;2012-20
3021;0;Doctor en Matemáticas;Doctorado;2016-20
865;0;Maestro en Artes Plásticas;Pregrado;2006-10
1733;0;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2004-20
810;0;Magíster en Administración;Maestría;1984-20
210;0;Mag?ster en Ingenier?a Mec?nica;Maestr?a;2017-10
1730;0;Magíster en Dirección Universitaria;Maestría;1993-10
3035;0;Magíster en Matemáticas;Maestría;1993-20
1542;0;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2016-10
1810;0;Magíster en Antropología;Maestría;2007-20
1852;0;Filósofo;Pregrado;1998-10
314;0;Mag?ster en Derecho P?blico para la Gesti?n Administrativa;Maestr?a;2018-20
936;0;Especialista en Derecho Comercial;Especialización;1994-20
925;0;Especialista en Gestión Pública e Instituciones Administrativas;Especialización;2000-20
1825;0;Literato;Pregrado;2013-20
2166;0;Magíster en Administración;Maestría;1984-10
2588;0;Músico con Enfasis en Producción de Audio;Pregrado;2008-20
850;0;Especialista en Administración Financiera;Especialización;2013-20
723;0;Administrador de Empresas;Pregrado;1988-10
3216;0;Maestro en Arte. Concentración: Medios Electrónicos y Artes del Tiempo;Pregrado;2011-10
2099;0;Magíster en Biología;Maestría;1998-20
2590;1;Músico con Enfasis en Instrumento - Piano;Pregrado;2015-10
1797;0;Doctor en Antropología;Doctorado;2016-10
487;0;Especialista en Administración Financiera;Especialización;2013-10
2996;0;Maestro en Textiles;Pregrado;1992-20
1947;0;Especialista en Banca;Especialización;1999-10
2686;0;Magíster en Biología;Maestría;1998-10
1469;0;Magíster en Ciencias Biológicas. Area: Biología;Maestría;2004-10
212;0;Mag?ster en Ingenier?a Mec?nica;Maestr?a;2017-20
1385;D;Filósofo;Pregrado;1990-20
2737;0;Especialista en Negociación;Especialización;2011-20
1517;0;Especialista en Gestión Pública e Instituciones Administrativas;Especialización;2012-20
1926;0;Literato;Pregrado;2001-10
797;0;Magíster en Psicología;Maestría;2003-20
168;0;Economista;Pregrado;2017-20
1751;0;Especialista en Negociación y Relaciones Internacionales;Especialización;2005-20
1413;0;Especialista en Derecho de Los Negocios Internacionales;Especialización;2005-20
2202;0;Bacteriólogo;Pregrado;1995-20
2952;0;Matemático;Pregrado;2009-10
3145;0;LicenciadO en Lenguas Modernas;Pregrado;1972-10
