id;edadEgresado;generoEgresado;celularPrincipalEgresado;emailEgresado;nivelVinculacionEgresado;indiceRelacionamiento;indiceRelacionamientoEstandarizado;idPerfilPractica;idPerfilPersonal;idPerfilGrado
20120;73;M;1;1;Alta;0.0;0.0;-1;29344;-1
1928;38;M;1;1;Media;0.0;0.0;-1;12787;-1
25509;49;M;1;1;Media;0.0;0.0;-1;34375;-1
1059;45;M;1;1;Alta;0.0;0.0;-1;-1;-1
17567;26;M;1;1;Alta;0.0;0.0;-1;27004;-1
36174;-1;M;1;1;Baja;0.0;0.0;-1;44274;-1
7874;45;M;1;1;Media;0.0;0.0;-1;18100;-1
14435;43;M;1;1;Media;0.0;0.0;-1;24128;-1
7234;27;M;1;1;Baja;0.0;0.0;-1;-1;13
6954;26;F;1;1;Media;0.2;0.4;-1;-1;-1
30884;32;F;1;1;Baja;0.0;0.0;-1;39369;-1
27909;28;F;1;1;Media;0.0;0.0;-1;36623;-1
35644;35;F;1;0;Baja;0.0;0.0;-1;-1;-1
11009;49;F;0;1;Baja;0.0;0.0;3032;-1;-1
17451;38;M;1;1;Media;0.0;0.0;-1;26903;-1
29574;-1;F;1;1;Baja;0.0;0.0;-1;38157;-1
13407;29;F;1;1;Baja;0.0;0.0;-1;23162;-1
15809;28;M;1;1;Alta;0.0;0.0;-1;25387;-1
32478;30;F;1;1;Alta;0.2;0.4;-1;40839;-1
25094;41;F;1;1;Alta;0.0;0.0;-1;33988;-1
6697;50;F;1;1;Media;0.0;0.0;-1;17025;-1
37117;35;F;1;1;Media;0.2;0.4;-1;45134;-1
17355;53;F;1;1;Media;0.3;0.6;-1;-1;-1
19131;48;M;0;1;Baja;0.0;0.0;-1;28437;-1
17150;43;F;1;1;Baja;0.0;0.0;-1;26624;-1
39233;28;M;1;1;Alta;0.0;0.0;-1;47100;-1
37744;48;F;1;1;Media;0.0;0.0;-1;45702;-1
6143;25;M;1;1;Baja;0.0;0.0;331;-1;-1
20496;40;M;1;1;Media;0.3;0.6;-1;29706;-1
27388;40;M;1;1;Baja;0.0;0.0;-1;36138;-1
18883;29;F;1;1;Alta;0.0;0.0;-1;28208;-1
5553;26;F;1;1;Alta;0.3;0.6;-1;15983;-1
23972;58;M;1;1;Media;0.0;0.0;-1;32945;-1
22274;50;F;1;1;Media;0.0;0.0;-1;31360;-1
29100;60;F;1;1;Baja;0.0;0.0;1894;37723;-1
26708;49;M;1;1;Alta;0.0;0.0;-1;35495;-1
12248;33;M;1;1;Media;0.0;0.0;1040;22093;-1
4916;28;M;1;1;Alta;0.3;0.6;-1;15420;-1
23449;-1;M;0;0;Baja;0.0;0.0;-1;32461;-1
13420;29;F;1;1;Baja;0.0;0.0;-1;23174;-1
11207;28;F;1;1;Alta;0.0;0.0;-1;21139;-1
