llave anónima vde,llave ctp
3784798,161951886471381000
3784852,161952107004446000
3784943,161952871627547000
3785259,162116774414151000
3785378,162116927416351000
3785805,162117454066582000
3785978,162119323923394000
3786000,162119580002815000
3786300,162117168998920000
3787687,161626602838285000
3787903,162127320461137000
3787962,162125996549423000
3788083,162126946801809000
3788269,162127051490801000
3789170,162127851960061000
3789322,162128248168916000
3789382,162128261053765000
3790249,161306873780273000
3792081,161944843979859000
3792175,161945970768213000
3792369,161945170748078000
3792478,161946022278631000
3792606,161945631121596000
3792633,161945656876777000
3792736,161946189687547000
3793025,161947187704037000
3793114,161947483890168000
3793272,162128336752263000
3793376,162128354468936000
3793399,162128380238643000
3793509,162128591228195000
3793706,161801690053573000
3793792,161804444644590000
3793870,161804983659010000
3793972,161805580598415000
3794017,161805593470436000
3794054,161805854128968000
3794137,161806447851965000
3794401,162128900465038000
3794472,161809947460869000
3794513,161813141389842000
3794597,162129096959436000
3795559,162131255184426000
3795836,162131483892692000
3796006,161947189313744000
3796117,162131709379872000
3798179,161624076503501000
3799056,161623098780253000
3800561,161947567594993000
3800734,161949816365412000
3800821,161950476351104000
3805384,161966982869684000
3805498,161626955015102000
3806127,161163806258303000
3806531,161807838036902000
3806555,161807883089292000
3806612,161809358558516000
3807163,161787035766118000
3807226,161641452489696000
3807334,161643782760072000
3807430,161805262016062000
3807605,161805904008094000
3807639,161805920098136000
3807659,161806130877764000
3807727,161806420498849000
3807787,161806694030113000
3808343,161643589776381000
3808384,161966726910810000
3808412,161949111309012000
3808909,161478158307902000
3810702,161642319303285000
3810787,161641068133394000
3810814,161642161700641000
3813216,161955223458546000
3813467,161963347950677000
3815414,161806677940032000
3817425,161809792994574000
3819053,161965999280400000
3819153,161966050794004000
3819285,161966078160609000
3819394,161966148991833000
3819490,161966176358447000
3819607,161966337338573000
3819786,161966372754212000
3819864,161966384022825000
3819945,161966517636410000
3821263,162116094763145000
3821999,162116305744703000
3822774,161961660898495000
3825486,161643314774819000
3826155,162113791690945000
3826440,162116357282204000
3826592,162116441030660000
3826745,162116479683800000
3827750,162104389528147000
3827901,162104434621802000
3828564,162130863803753000
3828968,162130921786045000
3831781,162113899596760000
3831866,162114307062324000
3832061,161967947144237000
3832272,161968133882212000
3832456,161968290033877000
3832777,161968911421661000
3832927,161968970984801000
3833927,162104468442048000
3834148,162104528030108000
3834203,162104532861573000
3834236,162104542524503000
3834262,162104566681829000
3834288,162107217556665000
3834417,162107256208706000
3834470,162107257819208000
3834524,162107261040212000
3835842,161950444156649000
3836065,161951202336919000
3836172,161951553257474000
3836420,161951702962231000
3838441,161966617444184000
3838502,161965761030090000
3838538,161966643201034000
3838667,161965846349438000
3838729,161966789693156000
3838877,161966799351980000
3838907,161964973839433000
3839129,162114614675006000
3839205,161966953893197000
3839242,162114685538702000
3839362,162114754791875000
3839446,162114770897266000
3839586,161965487364410000
3839616,161967274244496000
3839686,161967291952366000
3839735,161965532438741000
3839824,161965595220856000
3841167,162107359280839000
3841724,162274601524236000
3841916,162115221848540000
3842346,162129726708676000
3842426,162129502833486000
3842525,162103803311200000
3842577,162103858067683000
3842652,162103904771749000
3842694,162104320277189000
3843075,162131092511743000
3843434,162131124724149000
3843616,162131189148970000
3844769,162112287455417000
3844905,162112791550700000
3845161,162113461531586000
3845482,162111411330017000
3847100,162131406582837000
3847123,162131221361386000
3847148,162131417857190000
3847419,162131234246353000
3848017,162131297060575000
3848120,162131301892439000
3848250,162131321219894000
3849356,161952509437432000
3849533,161952829774446000
3849651,161953072844452000
3849718,161953132404680000
3849876,161953222549911000
3849957,161953245086222000
3850026,161318307593406000
3850499,161952422511864000
3851090,161948126164284000
3851220,161948206649852000
3851306,161948230795526000
3851474,161948824779681000
3851560,161948842486542000
3851658,161948913313998000
3851981,161949457398149000
3852285,161950154406696000
3852538,161785862872586000
3852780,162130607715420000
3853860,161961755875436000
3853954,161961789680795000
3854243,161953666837486000
3854333,161954256002385000
3854528,161955339360310000
3854593,161955717651077000
3854659,161955796528782000
3856128,162107389880384000
3856199,162107418869430000
3856254,162107473626524000
3856366,162107565425202000
3858741,162129940920333000
3858774,162129947362791000
3858923,162129812071199000
3858993,162129824956110000
3859055,161968534725297000
3859103,161968822881878000
3859137,161968824491692000
3859227,161968830930948000
3859348,161969408854710000
3859470,161970656465232000
3859573,161948966434600000
3860875,162130216335529000
3861049,162107720033561000
3861163,162131567645055000
3861256,162131577308790000
3861308,162131595025640000
3862716,161964291287120000
3862750,161964403972544000
3862858,161964944863127000
3862895,161964967400254000
3863025,162130343574207000
3866179,161627479260757000
3866233,161805963541254000
3866280,162130512688984000
3866338,162130514299601000
3866362,162130520742070000
3866409,162130523963305000
3866953,161806962734579000
3870377,161945410592941000
3871303,161951340773423000
3871352,161949851779244000
3877871,161946820691164000
3887238,161952356512838000
3900875,161629251410337000
3905614,161643612291139000
3908734,159554540885213000
3909052,161641283630177000
3909613,161968491260360000
3910046,161948782927103000
3910077,161807487272084000
3910439,161790544818658000
3910503,161793347583052000
3910862,161631901612229000
3911393,161785119559544000
3912189,161945980426415000
3912573,161967053701106000
3912593,161793415158612000
3913083,160021575127273000
3913335,161804652205260000
3913464,161946857714374000
3913500,161809582212562000
3913550,161782743221730000
3913848,161966847646102000
3913882,161966849255907000
3913948,161626712189950000
3914087,161785014981006000
3914209,161807931359716000
3914635,161645530875929000
3915287,161804769662132000
3915379,161964721101734000
3915594,161624412596551000
3915680,161809289370605000
3915878,161947300383512000
3916280,161806526693312000
3916390,161642010530831000
3916597,161807599902948000
3916722,161807601511960000
3916870,161787312498820000
3917336,161806233854120000
3917873,162111662571617000
3918904,161949381741422000
3918990,161642602344960000
3919288,161946291098760000
3919368,161805810685865000
3919680,161789766098532000
3920075,162292020500006000
3920527,161782540501776000
3920570,162107654002899000
3920603,161966453244314000
3920662,161642822667345000
3920805,161805661048554000
3920950,162112641771508000
3921036,161964410411712000
3921201,161806895156189000
3921261,161967060140327000
3921390,161967061750132000
3921473,161623118077393000
3921706,161640937870484000
3921957,161803762430611000
3922151,161950587421999000
3922487,161966818669628000
3922853,161642788895291000
3922882,161804414073650000
3923019,161805551636370000
3923051,162106793995014000
3923482,161644437297285000
3923555,161804758399143000
3923713,161804760008141000
3923752,161624390083130000
3924283,161642372373580000
3924360,161808204892257000
3924693,161943870115940000
3924791,161791516612518000
3925666,161952453096784000
3925995,161946303976377000
3926059,161964017622681000
3926525,161478961995802000
3926836,161804443035593000
3926957,161785785645177000
3927251,161945869357100000
3927443,161964381435456000
3927738,161804420509637000
3927782,161791004972341000
3927936,161459477949882000
3927979,162108571991360000
3928047,161809445445681000
3928241,161785080945926000
3928643,161808565311957000
3928737,161469944732233000
3929050,161642793719870000
3929149,161950336305247000
3929171,161808566920975000
3929586,161641052051551000
3929666,161621611295785000
3929831,161968050172072000
3930025,161965876935624000
3930360,161806529911327000
3930427,161946307195781000
3930552,161948773268817000
3931494,161808713341593000
3932002,161963737519319000
3932090,161806978824674000
3932397,161963740738896000
3932836,161807974803104000
3932996,161640783484879000
3933112,161642309654141000
3933318,161967037603054000
3933429,161642813018186000
3934187,161948478691220000
3934395,161948607468279000
3934554,161807566113685000
3935020,161806063299548000
3935185,161622979781243000
3935391,161809080197940000
3935639,161952187491003000
3935849,161966395291438000
3936003,161949695636468000
3936726,161954666486759000
3937048,161967444884011000
3937392,161804853330068000
3937605,161641843279208000
3937657,161947561156160000
3937688,161620789564058000
3937774,161643853520788000
3937980,161478036147517000
3938230,162104065820306000
3938548,161948906875138000
3938650,160835669120487000
3938694,161480362024901000
3938732,161964832177514000
3939098,161781551037159000
3939160,161805978022295000
3939333,161788692948041000
3939667,161785397899509000
3939703,161963959670241000
3940465,161964030501002000
3940521,161480554911131000
3940736,161309768744248000
3940788,161806727819285000
3940931,161967156728656000
3941080,161949645735184000
3941173,161952166564496000
3941250,161785330325623000
3941809,161805171912018000
3942136,161792049169663000
3942817,161781546210510000
